Table 5,,,,,,,,,,,,,,
   Estimated total,100.0%,"408,945",,"37,428","371,517",486,"4,304","17,253","15,385",,"85,684","245,901","39,932",
Cities outside metropolitan areas,"795,592",,,,,,,,,,,,,
   Area actually reporting,79.5%,"30,482",,"1,474","29,008",15,268,404,787,,"5,256","22,644","1,108",
   Estimated total,100.0%,"38,347",,"1,854","36,493",19,337,508,990,,"6,612","28,487","1,394",
Rural,"1,356,610",,,,,,,,,,,,,
   Area actually reporting,62.5%,"13,640",,529,"13,111",13,105,69,342,,"4,295","7,915",901,
   Estimated total,100.0%,"21,812",,846,"20,966",21,168,110,547,,"6,868","12,657","1,441",
State Total,"11,421,267","469,104",,"40,128","428,976",526,"4,809","17,871","16,922",0,"99,164","287,045","42,767",
"   Rate per 100,000 inhabitants",,"4,107.3", ,351.3,"3,755.9",4.6,42.1,156.5,148.2,0.0,868.2,"2,513.3",374.5,
,,,,,,,,,,,,,,
OKLAHOMA,, ,,,,,,,,,,,,
,, ,, ,,,,,,,,,,
Metropolitan Statistical Area,"2,123,513",,,,,,,,,,,,,
   Area actually reporting,100.0%,"122,845",,"12,688","110,157",104,"1,124","2,614","8,846",,"24,466","75,589","10,102",
Cities outside metropolitan areas,"699,127",,,,,,,,,,,,,
   Area actually reporting,100.0%,"32,564", ,"3,524","29,040",24,327,313,"2,860",,"7,285","20,109","1,646",
Rural,"671,074",,,,,,,,,,,,,
   Area actually reporting,100.0%,"10,306",,"1,375","8,931",35,122,39,"1,179",,"3,420","4,487","1,024",
State Total,"3,493,714","165,715",,"17,587","148,128",163,"1,573","2,966","12,885",0,"35,171","100,185","12,772",
"   Rate per 100,000 inhabitants",,"4,743.2", ,503.4,"4,239.8",4.7,45.0,84.9,368.8,0.0,"1,006.7","2,867.6",365.6,
,,,,,,,,,,,,,,
OREGON,, ,, ,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"2,575,588",,,,,,,,,,,,,
   Area actually reporting,99.9%,"137,598",,"8,793","128,805",53,989,"2,444","5,307",,"19,095","95,330","14,380",
   Estimated total,100.0%,"137,645",,"8,795","128,850",53,989,"2,445","5,308",,"19,101","95,364","14,385",
Cities outside metropolitan areas,"443,276",,,,,,,,,,,,,
   Area actually reporting,97.1%,"23,232",,"1,030","22,202",5,160,240,625,,"3,658","17,228","1,316",
   Estimated total,100.0%,"23,933", ,"1,061","22,872",5,165,247,644,,"3,768","17,748","1,356",
Rural,"502,651",,,,,,,,,,,,,
   Area actually reporting,100.0%,"9,865",,442,"9,423",14,84,50,294,,"2,827","5,813",783,
State Total,"3,521,515","171,443",,"10,298","161,145",72,"1,238","2,742","6,246",,"25,696","118,925","16,524",
"   Rate per 100,000 inhabitants",,"4,868.4", ,292.4,"4,576.0",2.0,35.2,77.9,177.4,0.0,729.7,"3,377.1",469.2,
,,,,,,,,,,,,,,
PENNSYLVANIA,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"10,437,252",,,,,,,,,,,,,
   Area actually reporting,90.6%,"289,525",,"43,374","246,151",564,"3,005","16,123","23,682",,"44,675","172,421","29,055",
   Estimated total,100.0%,"312,507",,"45,563","266,944",584,"3,166","16,685","25,128",,"47,667","188,670","30,607",
Cities outside metropolitan areas,"805,839",,,,,,,,,,,,,
   Area actually reporting,76.1%,"16,064",,"1,795","14,269",10,195,264,"1,326",,"2,271","11,265",733,
   Estimated total,100.0%,"21,122",,"2,360","18,762",13,256,347,"1,744",,"2,986","14,812",964,
Rural,"1,092,000",,,,,,,,,,,,,
   Area actually reporting,100.0%,"16,817",,"1,655","15,162",27,309,131,"1,188",,"4,957","8,959","1,246",
State Total,"12,335,091","350,446",,"49,578","300,868",624,"3,731","17,163","28,060",,"55,610","212,441","32,817",
"   Rate per 100,000 inhabitants",,"2,841.0", ,401.9,"2,439.1",5.1,30.2,139.1,227.5,0.0,450.8,"1,722.2",266.0,
,,,,,,,,,,,,,,
PUERTO RICO,, ,, ,,,,,,,,,,
,, , , , ,,,,,,,,,
Metropolitan Statistical Area,"3,252,499",,,,,,,,,,,,,
   Area actually reporting,100.0%,"79,618",,"11,997","67,621",698,207,"8,184","2,908",,"20,346","35,251","12,024",
Cities outside metropolitan areas,"606,307",,,,,,,,,,,,,
   Area actually reporting,100.0%,"11,165",,"1,474","9,691",76,34,794,570,,"4,391","4,389",911,
Total,"3,858,806","90,783",,"13,471","77,312",774,241,"8,978","3,478",0,"24,737","39,640","12,935",
"   Rate per 100,000 inhabitants",,"2,352.6", ,349.1,"2,003.5",20.1,6.2,232.7,90.1,0.0,641.1,"1,027.3",335.2,
,,,,, , ,,,,,,,,
RHODE ISLAND,, ,, ,,,,,,,,,,
,,,,, ,,,,,,,,,
Metropolitan Statistical Area,"1,003,857",,,,,,,,,,,,,
   Area actually reporting,100.0%,"35,952",,"2,827","33,125",37,356,892,"1,542",,"5,980","22,362","4,783",
Cities outside metropolitan areas,"65,868",,,,,,,,,,,,,
   Area actually reporting,100.0%,"2,358",,188,"2,170",1,23,23,141,,431,"1,660",79,
Rural,None,,,,,,,,,,,,,
   Area actually reporting,100.0%,83,,36,47,3,16,1,16,,4,29,14,
State Total,"1,069,725","38,393",,"3,051","35,342",41,395,916,"1,699",0,"6,415","24,051","4,876",
"   Rate per 100,000 inhabitants",,"3,589.1", ,285.2,"3,303.8",3.8,36.9,85.6,158.8,0.0,599.7,"2,248.3",455.8,
,,,,,,,,,,,,,,
SOUTH CAROLINA,, , , ,,,,,,,,,,
,, , , ,,,,,,,,,,
Metropolitan Statistical Area,"2,873,545",,,, ,,,,,,,,,
   Area actually reporting,99.8%,"158,519",,"22,943","135,576",205,"1,384","4,509","16,845",,"30,200","92,031","13,345",
   Estimated total,100.0%,"158,894",,"22,985","135,909",205,"1,386","4,517","16,877",,"30,257","92,285","13,367",
Cities outside metropolitan areas,"311,683",,,,,,,,,,,,,
   Area actually reporting,98.4%,"23,583",,"4,386","19,197",31,147,606,"3,602",,"4,114","14,118",965,
   Estimated total,100.0%,"23,972",,"4,458","19,514",32,149,616,"3,661",,"4,182","14,351",981,
Rural,"921,955",,,,,,,,,,,,,
   Area actually reporting,100.0%,"34,703",,"6,318","28,385",61,424,641,"5,192",,"9,306","16,560","2,519",
State Total,"4,107,183","217,569",,"33,761","183,808",298,"1,959","5,774","25,730",#REF!,"43,745","123,196","16,867",
"   Rate per 100,000 inhabitants",,"5,297.3", ,822.0,"4,475.3",7.3,47.7,140.6,626.5,#REF!,"1,065.1","2,999.5",410.7,
,,,,,,,,,,,,,,
SOUTH DAKOTA,, ,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"263,131",,, ,,,,,,,,,,
   Area actually reporting,93.8%,"8,988",,725,"8,263",3,215,82,425,,"1,448","6,428",387,
   Estimated total,100.0%,"9,439",,753,"8,686",3,226,84,440,,"1,519","6,764",403,
Cities outside metropolitan areas,"214,373",,,,,,,,,,,,,
   Area actually reporting,88.6%,"5,222",,301,"4,921",4,71,16,210,,849,"3,820",252,
   Estimated total,100.0%,"5,893",,340,"5,553",5,80,18,237,,958,"4,311",284,
Rural,"283,559",,,,,,,,,,,,,
   Area actually reporting,65.7%,"1,321",,169,"1,152",2,36,10,121,,366,699,87,
   Estimated total,100.0%,"2,010",,257,"1,753",3,55,15,184,,557,"1,064",132,
State Total,"761,063","17,342",,"1,350","15,992",11,361,117,861,0,"3,034","12,139",819,
"   Rate per 100,000 inhabitants",,"2,278.7", ,177.4,"2,101.3",1.4,47.4,15.4,113.1,0.0,398.7,"1,595.0",107.6,
,,,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"3,935,464", ,, ,,,,,,,,,,
   Area actually reporting,100.0%,"228,278",,"33,438","194,840",340,"1,820","8,726","22,552",,"46,561","125,860","22,419",
Cities outside metropolitan areas,"656,434",,,,,,,,,,,,,
   Area actually reporting,99.9%,"36,531",,"4,236","32,295",28,244,532,"3,432",,"6,679","23,639","1,977",
   Estimated total,100.0%,"36,574",,"4,241","32,333",28,244,533,"3,436",,"6,687","23,667","1,979",
Rural,"1,205,391",,,,,,,,,,,,,
   Area actually reporting,100.0%,"26,109",,"3,883","22,226",52,226,154,"3,451",,"8,000","12,083","2,143",
State Total,"5,797,289","290,961",,"41,562","249,399",420,"2,290","9,413","29,439",,"61,248","161,610","26,541",
"   Rate per 100,000 inhabitants",,"5,018.9", ,716.9,"4,302.0",7.2,39.5,162.4,507.8,0.0,"1,056.5","2,787.7",457.8,
,,,,,,,,,,,,,,
TEXAS,,,,,,,,,,,,,,
,, ,, , ,,,,,,,,,
Metropolitan Statistical Area,"18,479,316", ,,,,,,,,,,,,
   Area actually reporting,99.9%,"1,035,510",,"116,035","919,475","1,165","7,536","36,665","70,669",,"188,088","633,518","97,869",
   Estimated total,100.0%,"1,036,268",,"116,090","920,178","1,165","7,541","36,679","70,705",,"188,238","634,024","97,916",
Cities outside metropolitan areas,"1,486,837",,,,,,,,,,,,,
   Area actually reporting,99.2%,"62,401",,"6,215","56,186",50,623,696,"4,846",,"13,294","40,038","2,854",
   Estimated total,100.0%,"62,653",,"6,244","56,409",50,625,697,"4,872",,"13,341","40,202","2,866",
Rural,"1,813,740",,,,,,,,,,,,,
   Area actually reporting,100.0%,"31,371",,"3,684","27,687",87,342,204,"3,051",,"11,023","14,766","1,898",
State Total,"21,779,893","1,130,292",,"126,018","1,004,274","1,302","8,508","37,580","78,628",#REF!,"212,602","688,992","102,680",
"   Rate per 100,000 inhabitants",,"5,189.6", ,578.6,"4,611.0",6.0,39.1,172.5,361.0,#REF!,976.1,"3,163.4",471.4,
,,,,,,,,,,,,,,
UTAH,,,,,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"1,772,063",,,,,,,,,,,,,
   Area actually reporting,99.8%,"88,281",,"4,596","83,685",34,723,"1,096","2,743",,"12,621","64,067","6,997",
   Estimated total,100.0%,"88,399",,"4,601","83,798",34,724,"1,097","2,746",,"12,639","64,153","7,006",
Cities outside metropolitan areas,"293,306",,,,,,,,,,,,,
   Area actually reporting,96.5%,"9,775",,563,"9,212",6,152,28,377,,"1,521","7,263",428,
   Estimated total,100.0%,"10,127",,583,"9,544",6,157,29,391,,"1,576","7,525",443,
Rural,"250,887",,,,,,,,,,,,,
   Area actually reporting,96.6%,"4,447",,294,"4,153",7,60,14,213,,878,"3,011",264,
   Estimated total,100.0%,"4,603",,304,"4,299",7,62,14,221,,909,"3,117",273,
State Total,"2,316,256","103,129",,"5,488","97,641",47,943,"1,140","3,358",0,"15,124","74,795","7,722",
"   Rate per 100,000 inhabitants",,"4,452.4", ,236.9,"4,215.5",2.0,40.7,49.2,145.0,0.0,653.0,"3,229.1",333.4,
,,,,,,,,,,,,,,
VERMONT,,,, ,,,,,,,,,,
,,,, , ,,,,,,,,,
Metropolitan Statistical Area,"163,177", ,,,,,,,,,,,,
   Area actually reporting,100.0%,"5,417",,216,"5,201",8,16,34,158,,"1,128","3,858",215,
Cities outside metropolitan areas,"206,092",,,,,,,,,,,,,
   Area actually reporting,99.4%,"6,187",,272,"5,915",1,68,33,170,,"1,013","4,653",249,
   Estimated total,100.0%,"6,224",,273,"5,951",1,68,33,171,,"1,019","4,681",251,
Rural,"247,323",,,,,,,,,,,,,
   Area actually reporting,100.0%,"3,959",,169,"3,790",4,42,10,113,,"1,342","2,145",303,
State Total,"616,592","15,600",,658,"14,942",13,126,77,442,0,"3,489","10,684",769,
"   Rate per 100,000 inhabitants",,"2,530.0", ,106.7,"2,423.3",2.1,20.4,12.5,71.7,0.0,565.9,"1,732.8",124.7,
,,,,,,,,,,,,,,
VIRGINIA,, ,,,,,,,,,,,,
,,, , , ,,,,,,,,,
Metropolitan Statistical Area,"5,695,993",,,,,,,,,,,,,
   Area actually reporting,99.6%,"195,402",,"18,151","177,251",304,"1,435","6,492","9,920",,"25,657","134,985","16,609",
   Estimated total,100.0%,"196,372",,"18,251","178,121",305,"1,443","6,520","9,983",,"25,768","135,664","16,689",
Cities outside metropolitan areas,"449,150",,,,,,,,,,,,,
   Area actually reporting,92.7%,"14,081",,"1,174","12,907",15,125,216,818,,"1,902","10,393",612,
   Estimated total,100.0%,"15,185",,"1,266","13,919",16,135,233,882,,"2,051","11,208",660,
Rural,"1,148,399",,,,,,,,,,,,,
   Area actually reporting,99.4%,"17,378",,"1,729","15,649",67,259,207,"1,196",,"3,915","10,612","1,122",
   Estimated total,100.0%,"17,482",,"1,739","15,743",67,261,208,"1,203",,"3,938","10,676","1,129",
State Total,"7,293,542","229,039",,"21,256","207,783",388,"1,839","6,961","12,068",0,"31,757","157,548","18,478",
"   Rate per 100,000 inhabitants",,"3,140.3", ,291.4,"2,848.9",5.3,25.2,95.4,165.5,0.0,435.4,"2,160.1",253.3,
,,,,,,,,,,,,,,
WASHINGTON,, ,, ,,,,,,,,,,
,, ,,, ,,,,,,,,,
Metropolitan Statistical Area,"5,044,509",,,,,,,,,,,,,
   Area actually reporting,97.9%,"257,184",,"18,287","238,897",146,"2,166","5,365","10,610",,"44,484","157,459","36,954",
   Estimated total,100.0%,"261,666",,"18,554","243,112",148,"2,210","5,433","10,763",,"45,291","160,226","37,595",
Cities outside metropolitan areas,"463,899",,,,,,,,,,,,,
   Area actually reporting,90.7%,"29,773",,"1,372","28,401",10,285,262,815,,"4,782","21,958","1,661",
   Estimated total,100.0%,"32,838",,"1,513","31,325",11,314,289,899,,"5,274","24,219","1,832",
Rural,"560,588",,,,,,,,,,,,,
   Area actually reporting,100.0%,"15,427",,897,"14,530",25,210,75,587,,"4,383","9,081","1,066",
State Total,"6,068,996","309,931",,"20,964","288,967",184,"2,734","5,797","12,249",,"54,948","193,526","40,493",
"   Rate per 100,000 inhabitants",,"5,106.8", ,345.4,"4,761.4",3.0,45.0,95.5,201.8,0.0,905.4,"3,188.8",667.2,
,,,,,,,,,,,,,,
WEST VIRGINIA,, ,,, ,,,,,,,,,
,, ,, ,,,,,,,,,,
Metropolitan Statistical Area,"762,826",,,,,,,,,,,,,
   Area actually reporting,91.8%,"22,873",,"1,968","20,905",19,166,416,"1,367",,"4,570","14,150","2,185",
   Estimated total,100.0%,"25,084",,"2,156","22,928",20,180,458,"1,498",,"4,938","15,629","2,361",
Cities outside metropolitan areas,"278,400",,,,,,,,,,,,,
   Area actually reporting,81.1%,"6,428",,567,"5,861",6,39,88,434,,"1,185","4,369",307,
   Estimated total,100.0%,"7,921",,699,"7,222",8,48,108,535,,"1,460","5,384",378,
Rural,"760,647",,,,,,,,,,,,,
   Area actually reporting,97.3%,"11,978",,"1,329","10,649",28,97,89,"1,115",,"3,189","6,333","1,127",
   Estimated total,100.0%,"12,315",,"1,366","10,949",29,100,91,"1,146",,"3,279","6,511","1,159",
State Total,"1,801,873","45,320",,"4,221","41,099",57,328,657,"3,179",0,"9,677","27,524","3,898",
"   Rate per 100,000 inhabitants",,"2,515.2", ,234.3,"2,280.9",3.2,18.2,36.5,176.4,0.0,537.1,"1,527.5",216.3,
,,,,,,,,,,,,,,
WISCONSIN,, ,, , ,,,,,,,,,
,,,,,,,,,,,,,,
Metropolitan Statistical Area,"3,692,594",,,,,,,,,,,,,
   Area actually reporting,97.4%,"134,920",,"10,363","124,557",135,956,"4,572","4,700",,"19,851","93,057","11,649",
   Estimated total,100.0%,"136,716",,"10,437","126,279",136,967,"4,588","4,746",,"20,143","94,399","11,737",
Cities outside metropolitan areas,"718,125",,,,,,,,,,,,,
   Area actually reporting,99.0%,"25,127",,"1,012","24,115",2,147,85,778,,"3,156","20,105",854,
   Estimated total,100.0%,"25,371",,"1,022","24,349",2,148,86,786,,"3,187","20,300",862,
Rural,"1,030,477",,,,,,,,,,,,,
   Area actually reporting,97.6%,"14,547",,761,"13,786",16,119,38,588,,"4,487","8,460",839,
   Estimated total,100.0%,"14,900",,779,"14,121",16,122,39,602,,"4,596","8,666",859,
State Total,"5,441,196","176,987",,"12,238","164,749",154,"1,237","4,713","6,134",0,"27,926","123,365","13,458",
"   Rate per 100,000 inhabitants",,"3,252.7", ,224.9,"3,027.8",2.8,22.7,86.6,112.7,0.0,513.2,"2,267.2",247.3,
, ,,,,,,,,,,,,,
WYOMING, , ,,,,,,,,,,,,
,, ,,,,,,,,,,,,
Metropolitan Statistical Area,"149,614",,, , ,,,,,,,,,
   Area actually reporting,100.0%,"6,626",,367,"6,259",5,54,51,257,,988,"4,957",314,
Cities outside metropolitan areas,"208,723",,,,,,,,,,,,,
   Area actually reporting,98.4%,"8,560",,649,"7,911",4,56,35,554,,994,"6,592",325,
   Estimated total,100.0%,"8,697",,660,"8,037",4,57,36,563,,"1,010","6,697",330,
Rural,"140,366",,,,, ,, ,,,,,,
   Area actually reporting,100.0%,"2,535",,337,"2,198",6,37,6,288,,450,"1,649",99,
State Total,"498,703","17,858",,"1,364","16,494",15,148,93,"1,108",0,"2,448","13,303",743,
"   Rate per 100,000 inhabitants",,"3,580.9", ,273.5,"3,307.4",3.0,29.7,18.6,222.2,0.0,490.9,"2,667.5",149.0,
,,,,,,,,,,,,,,
"1 Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense.",,,,,,,,,,,,,,
"2 Violent crimes are offenses of murder, forcible rape, robbery, and aggravated assault.  Property crimes are offenses of burglary, larceny-theft, and motor vehicle theft.",,,,,,,,,,,,,,
3 Includes offenses reported by the Zoological Police and the Metro Transit Police.,,,,,,,,,,,,,,
"4 Limited data for 2002 were available.  See Offense Estimation, Appendix I, for details. ",,,,,,,,,,,,,,
  NOTE:  Offense totals are based on all data received from reporting agencies and estimates for unreported areas.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,